platform,brand_name,tier,title,price,currency,condition,listing_id,url,original_price
ebay,Coach,attainable luxury,"Coach Women's Multicolor Logo Crossbody Bag Buckle Flap Zip, Black Strap",200.0,USD,Pre-owned - Good,v1|257695825620|0,https://www.ebay.com/itm/257695825620?_skw=Coach+handbag&hash=item3bffde3ed4:g:eIcAAeSwmX1qiSqr,
ebay,Coach,attainable luxury,"Coach Signature Logo Tote, Brown Pink Trim Double Handles Zip Gold Hardware",35.0,USD,Pre-owned - Good,v1|318764853612|0,https://www.ebay.com/itm/318764853612?_skw=Coach+handbag&hash=item4a37dda96c:g:4zMAAeSwGDJqiJmv,
ebay,Coach,attainable luxury,Coach Signature Logo Medium Satchel Top Handle Zip Brown Tan Hang Tag Pockets,49.0,USD,Pre-owned - Excellent,v1|336753501590|0,https://www.ebay.com/itm/336753501590?_skw=Coach+handbag&hash=item4e6812a596:g:B2sAAeSwja9qh6z4,
ebay,Coach,attainable luxury,Coach Signature Logo Jacquard Zip Crescent Shoulder Bag Black/Gray Charm,75.0,USD,Pre-owned - Excellent,v1|398309997840|0,https://www.ebay.com/itm/398309997840?_skw=Coach+handbag&hash=item5cbd203d10:g:xqsAAeSwVZ5qh8ZG,
ebay,Coach,attainable luxury,coach shoulder handbag has 2 small blemishes shown in pictures,35.0,USD,Pre-owned - Good,v1|800546842845|0,https://www.ebay.com/itm/800546842845?_skw=Coach+handbag&hash=itemba644f68dd:g:I8cAAeSwWOBqiLfG,
ebay,Coach,attainable luxury,coach handbags vintage brown,70.0,USD,Pre-owned - Excellent,v1|398312499900|0,https://www.ebay.com/itm/398312499900?_skw=Coach+handbag&hash=item5cbd466abc:g:NLUAAeSw2rZqiKVY,
ebay,Coach,attainable luxury,Coach Madison Op Art Kara Carryall Gray Silver 22344 Tote Shoulder bag,125.0,USD,Pre-owned - Excellent,v1|158213605423|0,https://www.ebay.com/itm/158213605423?_skw=Coach+handbag&hash=item24d644082f:g:m44AAeSwF5BqiNGy,
ebay,Coach,attainable luxury,Coach Signature Logo Crossbody Bag Brown/Black & Wallet - Dust Bag included,50.0,USD,Pre-owned - Excellent,v1|336754624538|0,https://www.ebay.com/itm/336754624538?_skw=Coach+handbag&hash=item4e6823c81a:g:ZiIAAeSwJmhqiH-c,
ebay,Coach,attainable luxury,Coach Campbell Purse & Matching Wallet Burgundy Color,79.99,USD,Pre-owned - Good,v1|366621709273|0,https://www.ebay.com/itm/366621709273?_skw=Coach+handbag&hash=item555c5b53d9:g:L8cAAeSw3vtqiSsO,
ebay,Coach,attainable luxury,Coach Medium White Pebbled Satchel Top Handle Zip Purse Gold Hardware Pockets,80.0,USD,Pre-owned - Good,v1|820033310246|0,https://www.ebay.com/itm/820033310246?_skw=Coach+handbag&hash=itembeedcb4e26:g:RncAAeSwaONqiQdd,
ebay,Coach,attainable luxury,Coach Red Embossed Logo Satchel Top Handle Zip Crossbody Strap Gold Hardware,300.0,USD,Pre-owned - Excellent,v1|820027997862|0,https://www.ebay.com/itm/820027997862?_skw=Coach+handbag&hash=itembeed7a3ea6:g:4FgAAeSwaGNqh0fg,
ebay,Coach,attainable luxury,Coach Teri Shoulder Bag with quilting in maple,175.0,USD,Pre-owned - Excellent,v1|147520721596|0,https://www.ebay.com/itm/147520721596?_skw=Coach+handbag&hash=item2258eb92bc:g:qNUAAeSwuTdqiRHp,
